#  english 75000
Differences between similar pairs of signatures
Sig 1                      Sig 2                      List 1                     List 2                     differences               
ed-es-ing-ion-ive          e-ed-es-ing-ion            ed-es-ing-ion-ive          ed-es-ing-ion-e            ['', '', '', '', 'iv']                     
ed-es-ing-ion-ive          NULL-ed-es-ing-ion         ed-es-ing-ion-ive          ed-es-ing-ion-NULL         ['', '', '', '', 'ive']                     
NULL-er-ers-es-ing         NULL-er-ers-ing-s          NULL-er-ers-es-ing         NULL-er-ers-s-ing          ['', '', '', 'e', '']                     
NULL-ed-er-ers-ing         NULL-ed-er-ing-s           NULL-ed-er-ers-ing         NULL-ed-er-s-ing           ['', '', '', 'er', '']                     
NULL-ed-ing-ly-s           NULL-ed-ing-s-y            NULL-ed-ing-ly-s           NULL-ed-ing-y-s            ['', '', '', 'l', '']                     
ed-ing-or-ors              NULL-ed-ing-or             ed-ing-or-ors              ed-ing-or-NULL             ['', '', '', 'ors']                      
NULL-d-r-rs                NULL-d-r-s                 NULL-d-r-rs                NULL-d-r-s                 ['', '', '', 'r']                      
d-r-rs-s                   NULL-d-r-rs                d-r-rs-s                   d-r-rs-NULL                ['', '', '', 's']                      
NULL-ed-es                 NULL-ed-s                  NULL-ed-es                 NULL-ed-s                  ['', '', 'e']                       
's-NULL-es                 's-NULL-s                  's-NULL-es                 's-NULL-s                  ['', '', 'e']                       
NULL-ed-es-ing             NULL-ed-ing-s              NULL-ed-es-ing             NULL-ed-s-ing              ['', '', 'e', '']                      
NULL-ed-es-ion             NULL-ed-ion-s              NULL-ed-es-ion             NULL-ed-s-ion              ['', '', 'e', '']                      
NULL-ed-es-ing-ion         NULL-ed-ing-ion-s          NULL-ed-es-ing-ion         NULL-ed-s-ing-ion          ['', '', 'e', '', '']                     
NULL-er-ers                NULL-er-s                  NULL-er-ers                NULL-er-s                  ['', '', 'er']                       
NULL-ed-ers-ing            NULL-ed-ing-s              NULL-ed-ers-ing            NULL-ed-s-ing              ['', '', 'er', '']                      
ed-er-ers-ing              NULL-ed-er-s               ed-er-ers-ing              ed-er-s-NULL               ['', '', 'er', 'ing']                      
ed-er-ers-ing              NULL-ed-er-ing             ed-er-ers-ing              ed-er-NULL-ing             ['', '', 'ers', '']                      
ed-er-ing                  NULL-ed-er                 ed-er-ing                  ed-er-NULL                 ['', '', 'ing']                       
ed-ing-ion                 NULL-ed-ing                ed-ing-ion                 ed-ing-NULL                ['', '', 'ion']                       
ed-ion-ive                 e-ed-ion                   ed-ion-ive                 ed-ion-e                   ['', '', 'iv']                       
ed-ion-ive                 NULL-ed-ion                ed-ion-ive                 ed-ion-NULL                ['', '', 'ive']                       
's-NULL-ly                 's-NULL-y                  's-NULL-ly                 's-NULL-y                  ['', '', 'l']                       
NULL-ed-ly                 NULL-ed-y                  NULL-ed-ly                 NULL-ed-y                  ['', '', 'l']                       
ed-ion-or                  NULL-ed-ion                ed-ion-or                  ed-ion-NULL                ['', '', 'or']                       
ed-ing-ors                 ed-ing-s                   ed-ing-ors                 ed-ing-s                   ['', '', 'or']                       
ed-ion-or-ors              NULL-ed-ion-s              ed-ion-or-ors              ed-ion-NULL-s              ['', '', 'or', 'or']                      
ed-ing-or-ors              NULL-ed-ing-s              ed-ing-or-ors              ed-ing-NULL-s              ['', '', 'or', 'or']                      
ed-ing-ors                 NULL-ed-ing                ed-ing-ors                 ed-ing-NULL                ['', '', 'ors']                       
NULL-d-rs                  NULL-d-s                   NULL-d-rs                  NULL-d-s                   ['', '', 'r']                       
d-r-rs                     NULL-d-r                   d-r-rs                     d-r-NULL                   ['', '', 'rs']                       
ed-ing-s                   NULL-ed-ing                ed-ing-s                   ed-ing-NULL                ['', '', 's']                       
NULL-ary                   NULL-y                     NULL-ary                   NULL-y                     ['', 'ar']                        
NULL-ary-s                 NULL-s-y                   NULL-ary-s                 NULL-y-s                   ['', 'ar', '']                       
NULL-ary-ed-s              NULL-d-s-y                 NULL-ary-ed-s              NULL-y-d-s                 ['', 'ar', 'e', '']                      
NULL-ed                    NULL-d                     NULL-ed                    NULL-d                     ['', 'e']                        
