#  english 100000
Total number of letters in stems:  87109
Total number of letters in signatures:  45696
Total:  132805

------------------------------------------------------------------------------------------------------------------------------------------------------
Signature                                                   Stem count Robustness  Proportion of robustness          Running sum 
------------------------------------------------------------------------------------------------------------------------------------------------------
('NULL', 's')                                           1996           27020                   12.912%              12.912%
("'s", 'NULL')                                           624            8400                    4.014%              16.926%
('NULL', 'ly')                                           561            8380                    4.004%              20.930%
('NULL', 'd', 's')                                       265            5702                    2.725%              23.655%
('NULL', 'd')                                            261            3402                    1.626%              25.281%
("'", 'NULL')                                            155            1997                    0.954%              26.235%
('ies', 'y')                                             143            1741                    0.832%              27.067%
('d', 's')                                               143            1350                    0.645%              27.712%
("'s", 'NULL', 's')                                      142            3239                    1.548%              29.260%
('ed', 'ing')                                            100            1232                    0.589%              29.849%
('NULL', 'ed')                                            95            1243                    0.594%              30.443%
('e', 'y')                                                89            1001                    0.478%              30.921%
('ng', 'on')                                              79            1008                    0.482%              31.403%
('d', 'r')                                                73             640                    0.306%              31.709%
('NULL', 'ed', 'ing')                                     69            1570                    0.750%              32.459%
('NULL', 'ly', 'ness')                                    67            1730                    0.827%              33.286%
('NULL', 'ed', 'ing', 's')                                66            2012                    0.961%              34.247%
("'", 'g')                                                61             544                    0.260%              34.507%
('e', 'ed', 'es', 'ing')                                  61            1731                    0.827%              35.334%
('NULL', 'ing')                                           57             803                    0.384%              35.718%
('ng', 'on', 'ons')                                       52            1255                    0.600%              36.318%
('NULL', 'ness')                                          52             843                    0.403%              36.720%
('NULL', 'ed', 's')                                       49            1016                    0.486%              37.206%
('NULL', 'ally')                                          46             786                    0.376%              37.582%
('d', 'r', 'rs')                                          45             852                    0.407%              37.989%
('NULL', 'es')                                            41             539                    0.258%              38.246%
('ce', 't')                                               40             455                    0.217%              38.464%
('ed', 'ion')                                             38             499                    0.238%              38.702%
("'s", 'NULL', 's', "s'")                                 38            1185                    0.566%              39.268%
('NULL', 'ly', 's')                                       37             892                    0.426%              39.695%
('e', 'ed', 'ing')                                        33             684                    0.327%              40.022%
('NULL', 'al', 's')                                       33             866                    0.414%              40.435%
('ility', 'le')                                           29             435                    0.208%              40.643%
('NULL', 'e')                                             29             355                    0.170%              40.813%
('d', 'rs')                                               28             293                    0.140%              40.953%
('ce', 't', 'tly')                                        27             584                    0.279%              41.232%
('NULL', 'al')                                            27             407                    0.194%              41.426%
('e', 'ing')                                              25             284                    0.136%              41.562%
('NULL', 'n')                                             24             294                    0.140%              41.703%
('on', 've')                                              23             282                    0.135%              41.837%
('NULL', 's', "s'")                                       22             463                    0.221%              42.059%
('an', 'en')                                              22             241                    0.115%              42.174%
('on', 'ons', 've')                                       21             492                    0.235%              42.409%
('NULL', 'ic')                                            20             280                    0.134%              42.543%
('e', 'ion')                                              20             243                    0.116%              42.659%
('NULL', 'y')                                             20             247                    0.118%              42.777%
('NULL', 'hip')                                           19             289                    0.138%              42.915%
('r', 'st')                                               19             174                    0.083%              42.998%
('NULL', 'ity')                                           19             272                    0.130%              43.128%
('ed', 's')                                               19             188                    0.090%              43.218%
('NULL', 'ism')                                           18             300                    0.143%              43.361%
('e', 'ed', 'ing', 'ion')                                 18             591                    0.282%              43.644%
('ation', 'ed')                                           18             284                    0.136%              43.779%
('ily', 'y')                                              17             213                    0.102%              43.881%
('NULL', 'ity', 'ly')                                     17             460                    0.220%              44.101%
('ng', 'on', 'ons', 've')                                 17             567                    0.271%              44.372%
('NULL', 'ing', 's')                                      17             392                    0.187%              44.559%
('NULL', 'al', 'ally')                                    16             420                    0.201%              44.760%
('m', 't', 'ts')                                          15             330                    0.158%              44.918%
('ed',)                                                   15              28                    0.013%              44.931%
('NULL', 'ic', 's')                                       15             406                    0.194%              45.125%
('e', 'ed', 'ion')                                        14             306                    0.146%              45.271%
('ility', 'le', 'ly')                                     14             329                    0.157%              45.429%
('d', 'r', 's')                                           13             212                    0.101%              45.530%
('cy', 't')                                               13             141                    0.067%              45.597%
('NULL', 'al', 'ally', 's')                               12             412                    0.197%              45.794%
('NULL', 'd', 'ment', 'ments', 's')                       12             501                    0.239%              46.033%
('NULL', 't')                                             12             136                    0.065%              46.098%
('m', 'tic')                                              12             150                    0.072%              46.170%
("'s", 'NULL', 'ian')                                     12             279                    0.133%              46.303%
('NULL', 'l')                                             12             139                    0.066%              46.370%
('ce', 't', 'ts')                                         12             249                    0.119%              46.489%
('NULL', 'g')                                             12             134                    0.064%              46.553%
('on', 'ons', 've', 'vely')                               11             368                    0.176%              46.729%
('e', 'ed', 'es', 'ing', 'ion')                           11             478                    0.228%              46.957%
('ed', 'ion', 'ions')                                     11             282                    0.135%              47.092%
('NULL', 'd', 'rs')                                       11             244                    0.117%              47.209%
('NULL', 'd', 'r', 's')                                   11             307                    0.147%              47.355%
('ed', 'ing', 'ion')                                      11             268                    0.128%              47.483%
('NULL', 'ism', 's')                                      10             230                    0.110%              47.593%
('NULL', 'ed', 'es', 'ing')                               10             306                    0.146%              47.739%
('NULL', 'd', 'r', 'rs', 's')                             10             345                    0.165%              47.904%
('NULL', 'ally', 's')                                     10             269                    0.129%              48.033%
('ation', 'e', 'ed', 'ing')                               10             339                    0.162%              48.195%
('d', 'r', "r's", 'rs')                                   10             291                    0.139%              48.334%
('NULL', 'n', 'ns')                                        9             182                    0.087%              48.421%
('able', 'ed')                                             9             126                    0.060%              48.481%
('NULL', 'ed', 'ing', 'ings', 's')                         9             336                    0.161%              48.642%
('e', 'ity')                                               9             104                    0.050%              48.691%
('ic', 's')                                                9             105                    0.050%              48.742%
('ation', 'e', 'ed', 'es', 'ing')                          9             384                    0.183%              48.925%
('NULL', 's', 'y')                                         8             158                    0.076%              49.001%
('e', 'ed', 'ement', 'es', 'ing')                          8             299                    0.143%              49.143%
('e', 'ed', 'es', 'ing', 'ion', 'ions')                    8             435                    0.208%              49.351%
('al', 'e', 'es')                                          8             161                    0.077%              49.428%
('NULL', 'th')                                             8             103                    0.049%              49.477%
('ical', 'y')                                              7             103                    0.049%              49.527%
('ce', 'ces', 't')                                         7             154                    0.074%              49.600%
('e',)                                                     7               6                    0.003%              49.603%
('m', 'ts')                                                7              91                    0.043%              49.647%
('NULL', 'd', 'r')                                         7             136                    0.065%              49.712%
('NULL', 'er')                                             7              85                    0.041%              49.752%
('ied', 'y')                                               7              74                    0.035%              49.788%
('NULL', 'hip', 'hips')                                    7             194                    0.093%              49.880%
('e', 'es', 'ing')                                         7             152                    0.073%              49.953%
('ing', 's')                                               7              74                    0.035%              49.988%
('NULL', 'ed', 'es')                                       7             144                    0.069%              50.057%
('m', 't')                                                 7              74                    0.035%              50.092%
('NULL', 'men')                                            7              88                    0.042%              50.135%
('ng', 'on', 've')                                         7             168                    0.080%              50.215%
('ed', 'ing', 's')                                         7             132                    0.063%              50.278%
('ic', 'y')                                                7              86                    0.041%              50.319%
('an', "an's", 'en')                                       7             148                    0.071%              50.390%
('ed', 'y')                                                7              66                    0.032%              50.421%
('e', 'ed', 'ing', 'ion', 'ions')                          7             306                    0.146%              50.567%
('m', 't', 'tic')                                          7             144                    0.069%              50.636%
('on', 've', 'vely')                                       6             142                    0.068%              50.704%
('ng', 'ngly', 'on')                                       6             144                    0.069%              50.773%
('NULL', 'ers')                                            6              87                    0.042%              50.815%
('ation', 'ed', 'ing')                                     6             142                    0.068%              50.882%
('NULL', 'ation', 'ed', 'ing', 's')                        6             271                    0.130%              51.012%
('NULL', 'ary', 's')                                       6             150                    0.072%              51.084%
('NULL', 'd', 'ly')                                        6             135                    0.065%              51.148%
('NULL', 'ion')                                            6              77                    0.037%              51.185%
('ers', 'ing')                                             6              77                    0.037%              51.222%
('NULL', 'ry')                                             6              69                    0.033%              51.255%
("'", 'g', 'gs')                                           6              94                    0.045%              51.300%
('NULL', 'ist')                                            6              92                    0.044%              51.344%
('ion', 'ions', 'ory')                                     6             152                    0.073%              51.416%
('NULL', 'ities', 'ity', 'ly')                             6             193                    0.092%              51.508%
('NULL', 'ed', 'ers', 'ing', 's')                          6             217                    0.104%              51.612%
('NULL', "s'")                                             6              82                    0.039%              51.651%
('ation', 'e')                                             6              80                    0.038%              51.689%
('e', 'ed', 'ement', 'ing')                                6             181                    0.086%              51.776%
('ed', 'ition')                                            6              83                    0.040%              51.816%
('NULL', 'ome')                                            6              79                    0.038%              51.853%
('d', 'r', 'rs', 's')                                      6             148                    0.071%              51.924%
("'s", 's')                                                6              67                    0.032%              51.956%
('NULL', 'd', 'ment')                                      6             139                    0.066%              52.023%
('d', 't')                                                 5              40                    0.019%              52.042%
('ies', 'y', "y's")                                        5             114                    0.054%              52.096%
('NULL', 'ians')                                           5              69                    0.033%              52.129%
('er', 'ing')                                              5              59                    0.028%              52.157%
('c', 'es')                                                5              52                    0.025%              52.182%
('NULL', 'd', 'dly', 's')                                  5             141                    0.067%              52.250%
('l', 'te')                                                5              51                    0.024%              52.274%
("'s", 'NULL', 'an')                                       5             112                    0.054%              52.327%
('ion', 'ory')                                             5              64                    0.031%              52.358%
('NULL', 'rs', 's')                                        5             104                    0.050%              52.408%
('ed', 'es')                                               5              54                    0.026%              52.434%
('NULL', 'r', 'rs')                                        5             102                    0.049%              52.482%
('c', 'sm')                                                5              55                    0.026%              52.509%
('NULL', 'a')                                              5              61                    0.029%              52.538%
('d', 'ss')                                                5              47                    0.022%              52.560%
('e', 'es', 'ic')                                          5             114                    0.054%              52.615%
('ed', 'es', 'ing')                                        5              92                    0.044%              52.659%
('NULL', 'r')                                              5              55                    0.026%              52.685%
('NULL', 'r', 'rs', 's')                                   5             128                    0.061%              52.746%
('ation', 'e', 'ed')                                       5             114                    0.054%              52.801%
('ty', 'zed')                                              5              64                    0.031%              52.831%
('ess', 'g')                                               5              49                    0.023%              52.855%
('a', 'c')                                                 5              47                    0.022%              52.877%
('ic', 'ical', 'y')                                        5             112                    0.054%              52.930%
('NULL', 'ed', 'er', 'ing', 's')                           5             180                    0.086%              53.017%
('ed', 'ment')                                             5              64                    0.031%              53.047%
('m', 't', 'tic', 'ts')                                    5             196                    0.094%              53.141%
('NULL', 'ed', 'ing', 'y')                                 5             136                    0.065%              53.206%
('NULL', 'ern')                                            5              71                    0.034%              53.240%
('NULL', 'ed', 'ment')                                     5             112                    0.054%              53.293%
('cy', 't', 'tly')                                         5              98                    0.047%              53.340%
('ly', 'ng')                                               5              46                    0.022%              53.362%
('es', 'ng')                                               4              42                    0.020%              53.382%
('NULL', 'ment')                                           4              55                    0.026%              53.408%
('NULL', 'ized')                                           4              60                    0.029%              53.437%
('NULL', 'ed', 'ing', 'ion', 'ions', 'ive', 's')           4             228                    0.109%              53.546%
('n', 'ns', 'us', 'usly')                                  4             123                    0.059%              53.605%
('NULL', 'ial')                                            4              55                    0.026%              53.631%
('NULL', 'k')                                              4              47                    0.022%              53.654%
('ous', 'ously', 'ty')                                     4              80                    0.038%              53.692%
('ty',)                                                    4               6                    0.003%              53.695%
('ce', 'cy', 't')                                          4              79                    0.038%              53.732%
("'s", 'NULL', 'd', 's')                                   4             117                    0.056%              53.788%
("'s", 'NULL', 's', 'ship')                                4             138                    0.066%              53.854%
('ble', 'ng')                                              4              46                    0.022%              53.876%
('NULL', 'tone')                                           4              51                    0.024%              53.901%
('able', 'ably', 'ed')                                     4              88                    0.042%              53.943%
('NULL', 'ed', 'ing', 'ion')                               4             117                    0.056%              53.999%
('ied', 'ies', 'y')                                        4              75                    0.036%              54.034%
('NULL', 'ry', 's')                                        4              73                    0.035%              54.069%
('ng', 'ties', 'ty')                                       4              76                    0.036%              54.106%
